epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2004,2.11234,2.17354,0.01889,0.3629,0.35664,0.25714,0.0971,2.35318,3.79653,0.0288,0.000615385,0.000615385,0.000615385
2,70.1882,2.05559,1.89911,0.02118,0.30498,0.3314,0.2249,0.0815,2.51984,4.03171,0.03351,0.00125667,0.00125667,0.00125667
3,95.4154,2.05578,1.85809,0.01968,0.44687,0.35664,0.32193,0.1319,2.33553,2.8918,0.02989,0.00187155,0.00187155,0.00187155
4,120.421,1.93236,1.80712,0.01988,0.43833,0.34927,0.29092,0.11762,2.27767,2.62259,0.02825,0.0018812,0.0018812,0.0018812
5,145.053,1.92214,1.90413,0.01667,0.47028,0.32168,0.30791,0.12347,2.31018,2.63527,0.02944,0.0018416,0.0018416,0.0018416
6,169.711,1.95514,1.87142,0.01681,0.50656,0.24825,0.26953,0.10616,2.45616,2.90299,0.03209,0.001802,0.001802,0.001802
7,193.982,1.85917,1.6875,0.01763,0.31673,0.1958,0.15637,0.05978,2.76766,4.09017,0.0377,0.0017624,0.0017624,0.0017624
8,218.341,1.96599,1.80303,0.01731,0.44062,0.27273,0.2484,0.08727,2.63099,3.08098,0.03628,0.0017228,0.0017228,0.0017228
9,242.544,1.86561,1.63685,0.01662,0.47349,0.36364,0.3122,0.10179,2.58764,2.62897,0.03475,0.0016832,0.0016832,0.0016832
10,266.921,1.87982,1.69411,0.01819,0.53944,0.37762,0.36461,0.14231,2.35979,2.29329,0.0312,0.0016436,0.0016436,0.0016436
11,291.447,1.74426,1.55753,0.01629,0.50936,0.45455,0.41858,0.16009,2.36979,1.98437,0.02986,0.001604,0.001604,0.001604
12,316.186,1.84348,1.41688,0.01641,0.61393,0.40559,0.42346,0.15343,2.46622,2.00842,0.03208,0.0015644,0.0015644,0.0015644
13,340.794,1.83335,1.50273,0.01547,0.553,0.35903,0.38484,0.14846,2.47417,2.53276,0.03171,0.0015248,0.0015248,0.0015248
14,365.229,1.83824,1.36315,0.0173,0.5641,0.35664,0.38067,0.14712,2.40368,2.60408,0.02995,0.0014852,0.0014852,0.0014852
15,389.754,1.72443,1.45774,0.01441,0.55665,0.40909,0.42209,0.1516,2.39178,2.11924,0.02866,0.0014456,0.0014456,0.0014456
16,413.996,1.7008,1.33976,0.0148,0.51585,0.43357,0.41682,0.15292,2.43951,2.15022,0.0299,0.001406,0.001406,0.001406
17,438.11,1.74434,1.23203,0.01561,0.50006,0.43357,0.41885,0.15261,2.4728,2.07742,0.03161,0.0013664,0.0013664,0.0013664
18,462.436,1.78844,1.28602,0.01724,0.4911,0.43357,0.42271,0.16001,2.41193,1.9515,0.03128,0.0013268,0.0013268,0.0013268
19,486.746,1.60471,1.15641,0.01453,0.58915,0.45105,0.46976,0.17834,2.37155,1.88253,0.03058,0.0012872,0.0012872,0.0012872
20,511.204,1.71015,1.26704,0.01621,0.56333,0.45558,0.4614,0.19175,2.25201,1.9909,0.02819,0.0012476,0.0012476,0.0012476
21,536.033,1.76198,1.30176,0.01571,0.50706,0.43706,0.42881,0.17165,2.31539,2.15356,0.02942,0.001208,0.001208,0.001208
22,560.291,1.54657,1.13659,0.01443,0.50099,0.46503,0.43322,0.16716,2.36523,2.1405,0.02996,0.0011684,0.0011684,0.0011684
23,584.85,1.70483,1.11451,0.01723,0.59967,0.45105,0.46573,0.17401,2.43018,1.95183,0.03003,0.0011288,0.0011288,0.0011288
24,609.46,1.67323,1.10087,0.01407,0.66172,0.41259,0.46099,0.19135,2.4102,1.93821,0.03065,0.0010892,0.0010892,0.0010892
25,634.308,1.69085,1.30255,0.01648,0.66779,0.41259,0.46499,0.18675,2.37982,2.11084,0.03052,0.0010496,0.0010496,0.0010496
26,658.917,1.65899,1.17409,0.01599,0.51801,0.4021,0.3977,0.15001,2.51673,2.21149,0.03301,0.00101,0.00101,0.00101
27,683.506,1.62397,1.08637,0.01477,0.59212,0.39592,0.44234,0.15754,2.50095,1.98343,0.03328,0.0009704,0.0009704,0.0009704
28,707.899,1.5294,1.05384,0.01508,0.67404,0.38112,0.44722,0.16673,2.37928,2.08606,0.03013,0.0009308,0.0009308,0.0009308
29,732.359,1.56763,1.07325,0.01243,0.5824,0.46154,0.46258,0.18093,2.29637,1.9831,0.02779,0.0008912,0.0008912,0.0008912
30,756.827,1.48634,1.07576,0.01432,0.61818,0.44755,0.46762,0.1816,2.36722,1.89718,0.03006,0.0008516,0.0008516,0.0008516
